Name	Freq	Confidence
nguyen	182978.0	1.0
thi	162359.0	0.9968548312553384
hoang	46669.0	0.9999571468363652
thanh	43284.0	0.9999306951278675
ngoc	42388.0	0.9999292302611403
pham	41413.0	0.9997585882239336
anh	37455.0	0.9974007119117897
minh	33380.0	0.997487137829178
thuy	23240.0	0.9996558843771507
phuong	23013.0	0.9999131001520747
dinh	22855.0	0.9944387034498122
duc	22572.0	0.9776092076761087
thu	21522.0	0.9560843360117808
bui	19605.0	0.9560777226137267
quang	18394.0	0.9999456374014678
duong	16992.0	0.9883343179661337
phan	16814.0	0.9870085678975467
truong	16547.0	0.9616645075332937
tuan	16250.0	0.9762151125146226
linh	15597.0	0.992848050551231
huynh	13492.0	0.9853324930007923
ngo	13275.0	0.9850946961973945
viet	11924.0	0.976199983197957
duy	11714.0	0.999829293274155
thao	11576.0	0.9541551914424133
huy	11280.0	0.9992027637523253
trinh	11205.0	0.9657041733453742
trung	11165.0	0.9996418658787716
khanh	11125.0	0.999640578668344
dung	10940.0	0.9990867579908675
quoc	10798.0	0.9999073988332253
doan	10564.0	0.9528019110636833
trang	10489.0	0.9991426938464469
huong	10388.0	0.9996150885296382
quynh	9705.0	0.9998969709458068
huu	9273.0	0.9997843665768195
manh	8846.0	0.9996609786416544
huyen	8330.0	1.0
nhu	7849.0	0.9997452553814801
hoa	7739.0	0.9635851606853588
hieu	7492.0	0.9989333333333333
hien	7443.0	0.9830326436272551
nhat	7020.0	1.0
trong	7003.0	0.9819773734906946
cuong	6655.0	0.9996995643683341
giang	6572.0	0.9995437262357414
thang	5966.0	0.9530412519322015
nhi	5539.0	0.9994586791771923
hoai	5525.0	0.9992765418701393
binh	5524.0	0.9992764109985528
phung	5510.0	0.9992745738121146
kieu	5354.0	0.9819758037235228
bich	5352.0	0.999066641777114
phuc	5139.0	0.9998054474708171
vinh	5138.0	0.9541761975772006
dat	4890.0	0.9991826726604005
hanh	4707.0	0.9980916030534351
tuyet	4271.0	0.9706394536327653
toan	4063.0	0.9763259944202906
uyen	4020.0	0.9982617333002235
nhung	3913.0	1.0
nga	3824.0	0.9672707558124211
phong	3646.0	0.9986305121884416
tuyen	3495.0	0.998286203941731
phu	3472.0	0.998561978717285
quyen	3384.0	0.9991142604074402
nhan	3327.0	0.9990990990990991
thuong	3248.0	0.9981561155500922
truc	3112.0	0.9996787664632187
quy	3052.0	1.0
duyen	2956.0	0.9983113812901047
nghia	2831.0	0.9996468926553672
thuan	2782.0	0.955321614478591
phi	2766.0	0.9981955972573078
tri	2709.0	0.9695344444381525
thinh	2700.0	0.9996297667530544
phuoc	2675.0	1.0
hiep	2656.0	0.9988717562993606
khoa	2453.0	1.0
oanh	2441.0	0.9995904995904996
nguyet	2407.0	0.9995847176079734
loan	2336.0	0.9699254778751459
khac	2315.0	1.0
loc	2283.0	0.9982509838216004
chinh	2243.0	0.9982198486871384
hoan	2163.0	0.9958563535911602
ninh	1754.0	1.0
tinh	1741.0	0.9971363115693013
danh	1705.0	0.9590608187852375
thuc	1582.0	0.9981072555205047
khoi	1458.0	0.9993145990404386
nghiem	1392.0	0.9985652797704447
phat	1391.0	0.9949928469241774
canh	1298.0	0.9976940814757879
quyet	1279.0	0.99921875
khuong	1142.0	0.995640802092415
dac	1135.0	0.9930008748906387
nha	941.0	1.0
kiet	905.0	0.9912376779846659
sinh	900.0	0.9977827050997783
nghi	891.0	1.0
nhut	809.0	1.0
thoa	808.0	0.988984088127295
luyen	789.0	0.9974715549936789
khuat	737.0	0.9879356568364611
lanh	586.0	0.9881956155143339
khiem	579.0	0.9965576592082617
xuyen	553.0	0.992818671454219
hop	541.0	0.9818511796733213
tiep	517.0	0.9942307692307693
khue	486.0	0.9959016393442623
doanh	465.0	0.9978540772532188
nham	437.0	0.9931818181818182
tuoi	432.0	1.0
giao	412.0	0.9786223277909739
thoai	406.0	0.9975429975429976
khuyen	399.0	0.9975
chuyen	399.0	1.0
nho	391.0	0.9974489795918368
hoc	374.0	0.9920424403183024
ngoan	358.0	0.9944444444444445
nhien	338.0	1.0
muoi	322.0	1.0
thiet	303.0	0.9742765273311897
diu	286.0	0.9694915254237289
thuyen	283.0	0.9725085910652921
duoc	264.0	0.9962264150943396
giau	261.0	0.9702602230483272
luat	254.0	0.9657794676806084
nghiep	251.0	0.996031746031746
nuong	238.0	1.0
kinh	227.0	0.9912663755458515
nguy	215.0	1.0
nhuan	211.0	1.0
that	211.0	0.9906103286384976
phap	210.0	1.0
lich	207.0	0.9672897196261683
nhon	207.0	1.0
thuat	195.0	0.9898477157360406
ksor	195.0	0.9512195121951219
thuyet	190.0	1.0
lac	189.0	0.9545454545454546
hoanh	181.0	1.0
duyet	157.0	1.0
nhuong	151.0	1.0
khiet	145.0	0.9797297297297297
ich	133.0	0.9568345323741008
thoan	129.0	0.9772727272727273
cuu	126.0	0.9767441860465116
nhai	124.0	1.0
thac	122.0	0.9838709677419355
kbuor	121.0	1.0
phien	113.0	0.9826086956521739
xuong	111.0	0.9568965517241379
bkrong	105.0	0.963302752293578
oai	97.0	0.97
nhiem	93.0	1.0
nhanh	86.0	0.9885057471264368
thuoc	82.0	1.0
nghe	79.0	0.9875
uoc	79.0	0.9875
phoc	68.0	0.9855072463768116
nhac	61.0	1.0
tuoc	61.0	0.9838709677419355
kpa	61.0	0.9682539682539683
xanh	60.0	0.9523809523809523
khoan	58.0	0.9666666666666667
xiem	57.0	0.9661016949152542
tuc	57.0	0.95
tuynh	56.0	1.0
kdam	50.0	0.9615384615384616
